	apiUrl	id	isHosted	pillarId	pillarName	sectionId	sectionName	type	webPublicationDate	webTitle	webUrl
0	https://content.guardianapis.com/commentisfree/2007/oct/25/intellectualterrorism	commentisfree/2007/oct/25/intellectualterrorism	False	pillar/news	News	world	World news	article	2007-10-25T10:00:00Z	Intellectual terrorism	https://www.theguardian.com/commentisfree/2007/oct/25/intellectualterrorism
1	https://content.guardianapis.com/commentisfree/2007/nov/25/comment.terrorism	commentisfree/2007/nov/25/comment.terrorism	False	pillar/opinion	Opinion	commentisfree	Opinion	article	2007-11-25T00:17:31Z	Nick Cohen: How condescension benefits terrorism	https://www.theguardian.com/commentisfree/2007/nov/25/comment.terrorism
2	https://content.guardianapis.com/commentisfree/2007/sep/30/canterrorismdestroy	commentisfree/2007/sep/30/canterrorismdestroy	False	pillar/opinion	Opinion	commentisfree	Opinion	article	2007-09-30T09:30:00Z	Can terrorism destroy democracy?	https://www.theguardian.com/commentisfree/2007/sep/30/canterrorismdestroy
3	https://content.guardianapis.com/theobserver/2007/sep/30/featuresreview.review10	theobserver/2007/sep/30/featuresreview.review10	False	pillar/news	News	theobserver	From the Observer	article	2007-09-30T00:02:53Z	Democracy: Can terrorism destroy democracy?	https://www.theguardian.com/theobserver/2007/sep/30/featuresreview.review10
4	https://content.guardianapis.com/uk/2007/nov/05/terrorism.world1	uk/2007/nov/05/terrorism.world1	False	pillar/news	News	uk-news	UK news	article	2007-11-05T17:38:21Z	Profile: MI5 director general Jonathan Evans	https://www.theguardian.com/uk/2007/nov/05/terrorism.world1
5	https://content.guardianapis.com/uk/2007/oct/23/ukcrime.terrorism	uk/2007/oct/23/ukcrime.terrorism	False	pillar/news	News	uk-news	UK news	article	2007-10-23T13:55:55Z	Student jailed for promoting terrorism	https://www.theguardian.com/uk/2007/oct/23/ukcrime.terrorism
6	https://content.guardianapis.com/commentisfree/2007/sep/10/colludingwithterrorism	commentisfree/2007/sep/10/colludingwithterrorism	False	pillar/opinion	Opinion	commentisfree	Opinion	article	2007-09-10T13:00:00Z	Colluding with terrorism	https://www.theguardian.com/commentisfree/2007/sep/10/colludingwithterrorism
7	https://content.guardianapis.com/world/2007/oct/14/politics.eu	world/2007/oct/14/politics.eu	False	pillar/news	News	world	World news	article	2007-10-13T23:33:03Z	EU slams Brown on terrorism	https://www.theguardian.com/world/2007/oct/14/politics.eu
8	https://content.guardianapis.com/news/audio/2007/aug/16/terrorism.and.iran	news/audio/2007/aug/16/terrorism.and.iran	False	pillar/news	News	news	News	audio	2007-08-16T10:53:05Z	Terrorism and Iran	https://www.theguardian.com/news/audio/2007/aug/16/terrorism.and.iran
9	https://content.guardianapis.com/uk/2007/nov/20/terrorism.religion	uk/2007/nov/20/terrorism.religion	False	pillar/news	News	uk-news	UK news	article	2007-11-20T00:03:01Z	Counter-terrorism officials rethink stance on Muslims	https://www.theguardian.com/uk/2007/nov/20/terrorism.religion
10	https://content.guardianapis.com/news/audio/2007/sep/13/audio.threat.from.islamist.terrorism	news/audio/2007/sep/13/audio.threat.from.islamist.terrorism	False	pillar/news	News	news	News	audio	2007-09-13T10:54:01Z	Audio: Threat from Islamist terrorism	https://www.theguardian.com/news/audio/2007/sep/13/audio.threat.from.islamist.terrorism
11	https://content.guardianapis.com/uk/2007/nov/08/prisonsandprobation.terrorism	uk/2007/nov/08/prisonsandprobation.terrorism	False	pillar/news	News	uk-news	UK news	article	2007-11-08T09:32:33Z	Tenfold rise in terrorism prisoners forecast	https://www.theguardian.com/uk/2007/nov/08/prisonsandprobation.terrorism
12	https://content.guardianapis.com/politics/2007/nov/09/terrorism.world	politics/2007/nov/09/terrorism.world	False	pillar/news	News	politics	Politics	article	2007-11-09T09:59:49Z	Letter: Terrorism and the politics of fear	https://www.theguardian.com/politics/2007/nov/09/terrorism.world
13	https://content.guardianapis.com/news/blog/2007/jul/25/brownonterror	news/blog/2007/jul/25/brownonterror	False	pillar/news	News	news	News	article	2007-07-25T11:26:11Z	Brown on terrorism - live	https://www.theguardian.com/news/blog/2007/jul/25/brownonterror
14	https://content.guardianapis.com/politics/blog/2007/jul/25/brownonterror	politics/blog/2007/jul/25/brownonterror	False	pillar/news	News	politics	Politics	article	2007-07-25T11:26:11Z	Brown on terrorism - live	https://www.theguardian.com/politics/blog/2007/jul/25/brownonterror
15	https://content.guardianapis.com/commentisfree/2007/jul/07/thephysicsofterrorism	commentisfree/2007/jul/07/thephysicsofterrorism	False	pillar/opinion	Opinion	commentisfree	Opinion	article	2007-07-07T10:00:00Z	The physics of terrorism	https://www.theguardian.com/commentisfree/2007/jul/07/thephysicsofterrorism
16	https://content.guardianapis.com/business/2007/oct/10/crime.politics	business/2007/oct/10/crime.politics	False	pillar/news	News	uk-news	UK news	article	2007-10-10T13:03:00Z	More for terrorism and neighbourhood policing	https://www.theguardian.com/business/2007/oct/10/crime.politics
17	https://content.guardianapis.com/uk/2007/dec/18/weather.world	uk/2007/dec/18/weather.world	False	pillar/news	News	uk-news	UK news	article	2007-12-18T10:12:05Z	Flood threat on a par with terrorism, says expert	https://www.theguardian.com/uk/2007/dec/18/weather.world
18	https://content.guardianapis.com/world/2007/dec/14/helenpidd.international	world/2007/dec/14/helenpidd.international	False	pillar/news	News	world	World news	article	2007-12-14T02:39:08Z	T-shirt sellers not guilty in terrorism case	https://www.theguardian.com/world/2007/dec/14/helenpidd.international
19	https://content.guardianapis.com/science/2007/sep/13/voice	science/2007/sep/13/voice	False	pillar/news	News	science	Science	article	2007-09-13T13:04:00Z	"Computerised voices could unleash ""vocal terrorism"""	https://www.theguardian.com/science/2007/sep/13/voice
20	https://content.guardianapis.com/books/booksblog/2007/sep/12/whywontcomicsdealwithterr	books/booksblog/2007/sep/12/whywontcomicsdealwithterr	False	pillar/arts	Arts	books	Books	article	2007-09-12T07:50:00Z	Why won't comics deal with terrorism?	https://www.theguardian.com/books/booksblog/2007/sep/12/whywontcomicsdealwithterr
21	https://content.guardianapis.com/uk/2007/nov/26/terrorism.ukcrime	uk/2007/nov/26/terrorism.ukcrime	False	pillar/news	News	uk-news	UK news	article	2007-11-26T23:49:17Z	Anti-terrorism officer faces inquiry into expenses claims	https://www.theguardian.com/uk/2007/nov/26/terrorism.ukcrime
